┌─────────┬───────────┬───────────────┬────────────────┬───────────┬──────────┬────────────────────┬───────────────┬───────────┬─────────┬──────────┬────────────────────┬─────────────────────────┬───────────────────┐
│ (index) │  ticker   │    sector     │      figi      │  volMax   │  volMin  │        avg         │       t       │    med    │   lot   │  price   │       total        │ total_minPriceIncrement │ minPriceIncrement │
├─────────┼───────────┼───────────────┼────────────────┼───────────┼──────────┼────────────────────┼───────────────┼───────────┼─────────┼──────────┼────────────────────┼─────────────────────────┼───────────────────┤
│    0    │  'MDMG'   │ 'health_care' │ 'BBG00Y3XYV94' │  934977   │   741    │ 116448.32142857143 │  23787843.75  │  42289.5  │    1    │  562.5   │       562.5        │           0.1           │        0.1        │
│    1    │  'FIXP'   │  'consumer'   │ 'BBG00ZHCX1X2' │  342948   │  39422   │ 100577.66666666667 │  26029194.4   │   72143   │    1    │  360.8   │       360.8        │           0.1           │        0.1        │
│    2    │  'MOEX'   │  'financial'  │ 'BBG004730JJ5' │  853171   │   1847   │ 366659.53571428574 │  445284661.5  │ 402244.5  │   10    │  110.7   │        1107        │           0.1           │       0.01        │
│    3    │  'MRKU'   │  'utilities'  │ 'BBG000VKG4R5' │   8014    │   517    │ 2907.8571428571427 │    4119730    │   1895    │  10000  │  0.2174  │        2174        │            2            │      0.0002       │
│    4    │  'MRKZ'   │  'utilities'  │ 'BBG000TJ6F42' │  203359   │   4991   │ 47363.90476190476  │   12931812    │   36072   │  10000  │ 0.03585  │       358.5        │           0.5           │      0.00005      │
│    5    │  'TGKB'   │  'utilities'  │ 'BBG000Q7GG57' │   27621   │   805    │ 4647.952380952381  │    6895020    │   1364    │ 1000000 │ 0.005055 │        5055        │            5            │     0.000005      │
│    6    │  'KZOS'   │  'materials'  │ 'BBG0029SFXB3' │  190253   │   4231   │ 43507.333333333336 │   27069430    │   26281   │   10    │   103    │        1030        │            1            │        0.1        │
│    7    │  'YNDX'   │   'telecom'   │ 'BBG006L8G4H1' │  1934934  │   6593   │      413003.5      │  561235362.9  │ 273853.5  │    1    │  2049.4  │       2049.4       │           0.2           │        0.2        │
│    8    │  'VTBR'   │  'financial'  │ 'BBG004730ZJ9' │ 54567980  │  32737   │     11951898.5     │ 1272088125.6  │  6419824  │  10000  │ 0.019815 │       198.15       │          0.05           │     0.000005      │
│    9    │  'ENPG'   │  'materials'  │ 'BBG000RMWQD4' │  966773   │   1199   │     273854.75      │  106963587.5  │ 225186.5  │    1    │   475    │        475         │           0.5           │        0.5        │
